"id_schema","replacement"
"1","Cyclophosphamide + Doxorubicin"
"2","Doxorubicin"
"3","Paclitaxel"
"4","Docetaxel"
"5","Cyclophosphamide"
"6","Docetaxel + Cyclophosphamide + Doxorubicin"
"7","Docetaxel + Carboplatin"
"8","Docetaxel + Cyclophosphamide"
"9","Pertuzumab"
"10","Trastuzumab + Pertuzumab"
"11","Docetaxel + Pertuzumab"
"12","Trastuzumab + Docetaxel + Pertuzumab"
"13","Carboplatin"
"14","BMS-986178"
"15","Paclitaxel + Carboplatin"
"16","Nivolumab + BMS-986178"
"17","Bevacizumab"
"18","Paclitaxel + Bevacizumab"
"19","Nivolumab"
"20","Trastuzumab + Paclitaxel + Pertuzumab"
"21","Epirubicin + Cyclophosphamide + Fluorouracil"
"22","Trastuzumab + Docetaxel + Carboplatin"
"23","Epirubicin + Cyclophosphamide"
"24","Paclitaxel + Docetaxel"
"25","Paclitaxel + Pertuzumab"
"26","Docetaxel + Dexamethasone"
"27","Trastuzumab"
"28","NAB-Paclitaxel"
"29","Gemcitabine + Carboplatin"
"30","Gemcitabine"
"31","Paclitaxel + Bevacizumab"
"32","Bevacizumab"
"33","Docetaxel + Doxorubicin"
"34","Eribulin"
"35","Doxorubicin"
"36","Trastuzumab + Paclitaxel"
"37","Cisplatin"
"38","Tegafur + Cisplatin"
"39","Tegafur"
"40","Dexamethasone"
"41","Epirubicin + Fluorouracil"
"42","Cyclophosphamide + Doxorubicin + Fluorouracil"
"43","Trastuzumab + Docetaxel + Dexamethasone + Carboplatin"
"44","Trastuzumab + Cyclophosphamide + Fluorouracil + Pertuzumab + Epirubicin"
"45","Atezolizumab + Paclitaxel"
"46","Atezolizumab"
"47","Trastuzumab + Paclitaxel + Doxorubicin + Pertuzumab"
"48","Bleomycin + Vincristine"
"49","Paclitaxel + Dexamethasone"
"50","Capecitabine"
"51","Trastuzumab + Capecitabine"
"52","Trastuzumab + Pertuzumab + Capecitabine"
"53","Trastuzumab + Carboplatin"
"54","Trastuzumab + Carboplatin + Pertuzumab"
"55","Bleomycin + Etoposide + Cisplatin"
"56","Etoposide + Carboplatin"
"57","Etoposide + Cisplatin"
"58","Etoposide"
"59","Paclitaxel + Docetaxel + Pertuzumab"
"60","Methotrexate + Eribulin"
"61","Cytarabine + Bevacizumab"
"62","Cytarabine"
"63","Carboplatin + Pertuzumab"
"64","Fluorouracil"
"65","Gemcitabine + PM060184"
"66","Trastuzumab + Paclitaxel + Carboplatin"
