"table_name","column_name","value","replacement"
"comorbidity","comorbidity","smoker","CurrentSmoker"
"comorbidity","comorbidity","ex-smoker","PreviousSmoker"
"comorbidity","comorbidity","hta","HTA"
"comorbidity","comorbidity","ischemic cardiopathology","Ischemic_cardiopathology"
"comorbidity","comorbidity","cardiac insufficiency","Heart_failure"
"comorbidity","comorbidity","other cardiopathology","Other_cardiopathology"
"comorbidity","comorbidity","diabetes","Diabetes"
"comorbidity","comorbidity","dislipemia","Hypercholesterolemia"
"comorbidity","comorbidity","thyroid disease","Thyroid_diseases"
"comorbidity","comorbidity","musculoskeletal disease","Musculoskeletal_diseases"
"comorbidity","comorbidity","renal disease","renal_disease_uncharacterized"
"comorbidity","comorbidity","gastrointestinal disease","Gastrointestinal"
"comorbidity","comorbidity","psychiatric disorder","Mental_disorders"
"comorbidity","comorbidity","insomnia","Sleeplessness"
"comorbidity","comorbidity","liver disease","Liver_diseases"
"comorbidity","comorbidity","autoimmune disease","Autoimmune_diseases"
"comorbidity","comorbidity","lung disease","Lung_diseases"
"comorbidity","comorbidity","transplant","Transplantation"
"comorbidity","negated","1","NoComorbidity"
"comorbidity","negated","si","NoComorbidity"
"comorbidity","negated","0","WithComorbidity"
"comorbidity","negated","no","WithComorbidity"
"family_history","cancer_cui","C0007113","Rectal_carcinoma"
"family_history","cancer_cui","C0023418","Leukemia"
"family_history","cancer_cui","C0024299","Lymphoma"
"family_history","cancer_cui","C0025202","Melanoma"
"family_history","cancer_cui","C0026764","Multiple_myeloma"
"family_history","cancer_cui","C0029925","Ovarian_carcinoma"
"family_history","cancer_cui","C0151546","Oral_cavity_carcinoma"
"family_history","cancer_cui","C0153437","Malignant_neoplasm_of_cecum"
"family_history","cancer_cui","C0153567","Uterine_cancer"
"family_history","cancer_cui","C0153601","Malignant_neoplasm_of_penis"
"family_history","cancer_cui","C0205699","Carcinomatosis"
"family_history","cancer_cui","C0235974","Pancreatic_carcinoma"
"family_history","cancer_cui","C0279530","Malignant_bone_neoplasm"
"family_history","cancer_cui","C0346627","Intestinal_cancer"
"family_history","cancer_cui","C0476089","Endometrial_carcinoma"
"family_history","cancer_cui","C0549473","Thyroid_carcinoma"
"family_history","cancer_cui","C0595989","Carcinoma_of_larynx"
"family_history","cancer_cui","C0600139","Prostate_carcinoma"
"family_history","cancer_cui","C0677483","Carcinoma_testes"
"family_history","cancer_cui","C0678222","Breast_carcinoma"
"family_history","cancer_cui","C0684249","Carcinoma_of_lung"
"family_history","cancer_cui","C0699790","Colon_carcinoma"
"family_history","cancer_cui","C0699791","Stomach_carcinoma"
