"table_name","column_name","value","replacement"
"alk_mutation","result_alk_fish","1","Traslocated"
"alk_mutation","result_alk_fish","0","Non_Traslocated"
"alk_mutation","result_alk_fish","-1","UNK"
"alk_mutation","result_alk_ihq","1","Positive"
"alk_mutation","result_alk_ihq","0","Negative"
"alk_mutation","result_alk_ihq","-1","UNK"
"alk_mutation","result_alk_rna","1","Detected"
"alk_mutation","result_alk_rna","0","Non_detected"
"alk_mutation","result_alk_rna","-1","UNK"
"chemotherapy_drugs","drug","1","Afatinib"
"chemotherapy_drugs","drug","2","Bevacizumab"
"chemotherapy_drugs","drug","3","Carboplatin"
"chemotherapy_drugs","drug","4","Erlotinib"
"chemotherapy_drugs","drug","5","Gemcitabine"
"chemotherapy_drugs","drug","6","Pemetrexed"
"chemotherapy_drugs","drug","7","Cisplatin"
"chemotherapy_drugs","drug","8","Crizotinib"
"chemotherapy_drugs","drug","9","Docetaxel"
"chemotherapy_drugs","drug","10","Durvalumab_(MEDI4736)"
"chemotherapy_drugs","drug","11","Gefitinib"
"chemotherapy_drugs","drug","12","Ipilimumab"
"chemotherapy_drugs","drug","13","Nintedanib"
"chemotherapy_drugs","drug","14","Nivolumab"
"chemotherapy_drugs","drug","15","Olaparib"
"chemotherapy_drugs","drug","16","Osimertinib"
"chemotherapy_drugs","drug","17","Paclitaxel"
"chemotherapy_drugs","drug","18","Vinorelbine"
"chemotherapy_drugs","drug","19","Topotecan"
"chemotherapy_drugs","drug","20","Etoposide_VP16"
"chemotherapy_drugs","drug","21","Doxorrubicine"
"chemotherapy_drugs","drug","22","Ciclofosfamide"
"chemotherapy_drugs","drug","23","Vincristinea"
"chemotherapy_drugs","drug","24","Lanreotide"
"chemotherapy_drugs","drug","25","Irinotecan"
"chemotherapy_drugs","drug","26","Ramucirumab"
"chemotherapy_drugs","drug","27","Nab-Paclitaxel"
"chemotherapy_drugs","drug","28","Pembrolizumab"
"chemotherapy_drugs","drug","29","Pembrolizumab_vs_Placebo"
"chemotherapy_drugs","drug","30","Atezolizumab"
"chemotherapy_drugs","drug","31","Dacomitinib"
"chemotherapy_drugs","drug","32","Trametinib"
"chemotherapy_drugs","drug","33","Dabrafenib"
"chemotherapy_drugs","drug","34","Ceritinib"
"chemotherapy_drugs","drug","35","Durvalumab_(MEDI4736)_vs_Placebo"
