"column_name","value","replacement"
"stage_diagnosis","t0 nx m0","Nx"
"stage_diagnosis","tx n0 m0","N0"
"stage_diagnosis","t1 nx mx","Nx"
"stage_diagnosis","t0 nx mx","Nx"
"stage_diagnosis","t3 nx mx","Nx"
"stage_diagnosis","t3 nx m0","Nx"
"stage_diagnosis","t2 nx m0","Nx"
"stage_diagnosis","tx n2 m0","N2"
"stage_diagnosis","tx n0 mx","N0"
"stage_diagnosis","t1 nx m0","Nx"
"stage_after_neo","yt2 ynx m0","yNx"
"stage_after_neo","yt2 ynx m0","yNx"
"stage_after_neo","yt3 ynx m0","yNx"
"stage_after_neo","yt3 ynx m0","yNx"
