CUI_ID,Gene
C1412045,a1bg
C2240226,a1cf
C2681400,a2ld1
C1412046,a2m
C1825487,a2ml1
C1425345,a4galt
C1538890,a4gnt
C0271742,aaas
C1422135,aaas
C1515935,aaas
C1427475,aacs
C1412051,aadac
C1538893,aadacl2
C1825489,aadacl3
C1825490,aadacl4
C1425183,aadat
C2828924,aagab
C1426329,aak1
C1412052,aamp
C1412053,aanat
C1412054,aars
C1427250,aars2
C1825491,aarsd1
C2240229,aasdh
C1422497,aasdhppt
C1424938,aass
C1412055,aatk
C1412057,abat
C1412058,abca1
C1412059,abca10
C1422805,abca12
C1538894,abca13
C1412061,abca2
C1412062,abca3
C1412063,abca4
C1412064,abca5
C3539865,abca5
C1412065,abca6
C1412066,abca7
C1412067,abca8
C1412068,abca9
C0376622,abcb1
C1704939,abcb1
C1738970,abcb1
C1412069,abcb10
C1412070,abcb11
C1412071,abcb4
C1412072,abcb5
C1332001,abcb6
C1447552,abcb6
C1704926,abcb6
C1412073,abcb7
C1412074,abcb8
C1412075,abcb9
C0919458,abcc1
C1451297,abcc1
C1704873,abcc1
C1412076,abcc10
C1422806,abcc11
C1422807,abcc12
C1412077,abcc2
C3540577,abcc2
C0757457,abcc3
C1412078,abcc3
C1412079,abcc4
C3538745,abcc4
C1412080,abcc5
C1449272,abcc5
C1412081,abcc6
C1412082,abcc8
C1412083,abcc9
C1412084,abcd1
C1412089,abcd2
C1412090,abcd3
C1412091,abcd4
C1412092,abce1
C1412093,abcf1
C1412094,abcf2
C1412095,abcf3
C1412096,abcg1
C0761993,abcg2
C1332002,abcg2
C1704927,abcg2
C1422254,abcg4
C1422255,abcg5
C1422256,abcg8
C1424994,abhd1
C1538895,abhd10
C1538896,abhd11
C1825822,abhd12
C2240233,abhd12b
C1825823,abhd13
C1538897,abhd14a
C1825824,abhd14b
C2681401,abhd15
C1422273,abhd16a
C1424008,abhd16b
C1425733,abhd2
C1425734,abhd3
C1426738,abhd4
C1427541,abhd5
C1427543,abhd6
C1428243,abhd8
